date,precious,priceless,privileged,productive,productivity
2004-01-01,110.158493906,64.5770515562,0.0,0.0,0.0
2004-01-02,121.174343297,68.6131172785,0.0,41.2979188934,27.8268449978
2004-01-03,93.6347198203,59.1956305932,0.0,16.5191675574,11.1307379991
2004-01-04,91.7987449219,92.829511612,0.0,35.7915297076,0.0
2004-01-05,53.2432720547,59.1956305932,0.0,0.0,27.8268449978
2004-01-06,84.4548453281,55.1595648709,0.0,13.7659729645,27.8268449978
2004-01-07,55.0792469531,29.5978152966,73.2110607482,0.0,20.4063529984
2004-01-08,75.2749708359,69.9584725192,0.0,0.0,27.8268449978
2004-01-09,106.486544109,47.0874334264,146.422121496,0.0,42.6678289966
2004-01-10,132.190192687,56.5049201117,0.0,0.0,33.3922139974
2004-01-11,135.862142484,25.5617495743,109.816591122,33.0383351148,22.2614759982
2004-01-12,100.978619414,83.4120249267,0.0,30.2851405219,53.7985669958
2004-01-13,45.8993724609,33.6338810188,0.0,11.0127783716,38.9575829969
2004-01-14,91.7987449219,33.6338810188,73.2110607482,11.0127783716,20.4063529984
2004-01-15,73.4389959375,53.8142096302,73.2110607482,0.0,12.985860999
2004-01-16,134.026167586,47.0874334264,73.2110607482,11.0127783716,27.8268449978
2004-01-17,99.1426445156,96.8655773343,0.0,0.0,11.1307379991
2004-01-18,178.089565148,88.7934458898,0.0,0.0,22.2614759982
2004-01-19,104.650569211,44.3967229449,0.0,11.0127783716,22.2614759982
2004-01-20,117.5023935,61.8863410747,73.2110607482,11.0127783716,77.9151659939
2004-01-21,123.010318195,52.4688543894,0.0,11.0127783716,38.9575829969
2004-01-22,110.158493906,52.4688543894,0.0,30.2851405219,20.4063529984
2004-01-23,95.4706947187,80.7213144452,0.0,11.0127783716,68.6395509946
2004-01-24,124.846293094,91.4841563713,0.0,16.5191675574,0.0
2004-01-25,102.814594312,44.3967229449,0.0,0.0,31.5370909975
2004-01-26,97.3066696172,56.5049201117,0.0,0.0,59.3639359953
2004-01-27,111.994468805,22.8710390928,54.9082955611,19.2723621503,68.6395509946
2004-01-28,64.2591214453,69.9584725192,0.0,0.0,38.9575829969
2004-01-29,91.7987449219,48.4327886671,0.0,0.0,38.9575829969
2004-01-30,62.4231465469,60.5409858339,0.0,19.2723621503,35.2473369972
2004-01-31,124.846293094,76.685248723,0.0,0.0,42.6678289966
2004-02-01,53.2432720547,16.144262889,0.0,0.0,22.2614759982
2004-02-02,75.2749708359,64.5770515562,0.0,38.5447243005,25.971721998
2004-02-03,77.1109457344,47.0874334264,54.9082955611,8.25958377869,29.6819679977
2004-02-04,60.5871716484,69.9584725192,54.9082955611,8.25958377869,66.7844279947
2004-02-05,97.3066696172,61.8863410747,0.0,27.531945929,37.1024599971
2004-02-06,82.6188704297,69.9584725192,54.9082955611,0.0,44.5229519965
2004-02-07,135.862142484,40.3606572226,549.082955611,0.0,55.6536899956
2004-02-08,77.1109457344,90.1388011305,0.0,0.0,31.5370909975
2004-02-09,86.2908202266,40.3606572226,0.0,0.0,50.088320996
2004-02-10,102.814594312,40.3606572226,0.0,8.25958377869,24.1165989981
2004-02-11,99.1426445156,59.1956305932,0.0,8.25958377869,55.6536899956
2004-02-12,121.174343297,60.5409858339,54.9082955611,8.25958377869,44.5229519965
2004-02-13,47.7353473594,84.7573801675,0.0,0.0,12.985860999
2004-02-14,64.2591214453,86.1027354083,109.816591122,0.0,11.1307379991
2004-02-15,110.158493906,56.5049201117,0.0,16.5191675574,11.1307379991
2004-02-16,78.9469206328,57.8502753524,0.0,0.0,64.9293049949
2004-02-17,104.650569211,53.8142096302,0.0,27.531945929,31.5370909975
2004-02-18,84.4548453281,57.8502753524,0.0,35.7915297076,48.2331979962
2004-02-19,93.6347198203,55.1595648709,0.0,19.2723621503,18.5512299985
2004-02-20,73.4389959375,39.0153019819,73.2110607482,19.2723621503,33.3922139974
2004-02-21,143.206042078,67.2677620377,0.0,0.0,40.8127059968
2004-02-22,100.978619414,29.5978152966,0.0,0.0,9.27561499927
2004-02-23,89.9627700234,26.9071048151,54.9082955611,19.2723621503,12.985860999
2004-02-24,60.5871716484,53.8142096302,0.0,27.531945929,18.5512299985
2004-02-25,97.3066696172,17.4896181298,0.0,0.0,24.1165989981
2004-02-26,78.9469206328,57.8502753524,0.0,19.2723621503,42.6678289966
2004-02-27,93.6347198203,53.8142096302,0.0,11.0127783716,33.3922139974
2004-02-28,93.6347198203,76.685248723,0.0,0.0,11.1307379991
2004-02-29,89.9627700234,44.3967229449,0.0,0.0,0.0
2004-03-01,66.0950963437,67.2677620377,0.0,0.0,25.971721998
2004-03-02,89.9627700234,56.5049201117,0.0,16.5191675574,18.5512299985
2004-03-03,64.2591214453,61.8863410747,0.0,63.3234756366,42.6678289966
2004-03-04,60.5871716484,37.6699467411,0.0,0.0,25.971721998
2004-03-05,135.862142484,65.9224067969,0.0,0.0,0.0
2004-03-06,80.7828955312,59.1956305932,0.0,0.0,16.6961069987
2004-03-07,89.9627700234,87.448090649,292.844242993,0.0,59.3639359953
2004-03-08,0.0,0.0,0.0,0.0,0.0
2004-03-09,0.0,0.0,0.0,0.0,0.0
2004-03-10,77.1109457344,82.066669686,0.0,13.7659729645,61.2190589952
2004-03-11,67.9310712422,32.2885257781,0.0,33.0383351148,0.0
2004-03-12,73.4389959375,33.6338810188,0.0,13.7659729645,18.5512299985
2004-03-13,84.4548453281,76.685248723,0.0,16.5191675574,53.7985669958
2004-03-14,42.2274226641,14.7989076483,0.0,0.0,20.4063529984
2004-03-15,36.7194979687,40.3606572226,0.0,19.2723621503,74.2049199941
2004-03-16,71.6030210391,26.9071048151,109.816591122,16.5191675574,11.1307379991
2004-03-17,84.4548453281,30.9431705373,0.0,0.0,42.6678289966
2004-03-18,115.666418602,51.1234991487,54.9082955611,0.0,38.9575829969
2004-03-19,60.5871716484,44.3967229449,73.2110607482,0.0,68.6395509946
2004-03-20,53.2432720547,47.0874334264,0.0,0.0,22.2614759982
2004-03-21,93.6347198203,37.6699467411,0.0,0.0,0.0
2004-03-22,99.1426445156,36.3245915004,0.0,0.0,100.176641992
2004-03-23,0.0,0.0,0.0,0.0,0.0
2004-03-24,75.2749708359,48.4327886671,91.5138259352,24.7787513361,33.3922139974
2004-03-25,66.0950963437,48.4327886671,0.0,0.0,44.5229519965
2004-03-26,47.7353473594,55.1595648709,91.5138259352,0.0,37.1024599971
2004-03-27,42.2274226641,99.5562878158,201.330417057,0.0,51.9434439959
2004-03-28,88.126795125,40.3606572226,0.0,0.0,44.5229519965
2004-03-29,66.0950963437,57.8502753524,54.9082955611,19.2723621503,24.1165989981
2004-03-30,51.4072971562,63.2316963154,0.0,8.25958377869,16.6961069987
2004-03-31,58.75119675,76.685248723,0.0,0.0,24.1165989981
2004-04-01,71.6030210391,34.9792362596,54.9082955611,16.5191675574,18.5512299985
2004-04-02,115.666418602,65.9224067969,0.0,11.0127783716,0.0
2004-04-03,51.4072971562,30.9431705373,109.816591122,0.0,11.1307379991
2004-04-04,60.5871716484,52.4688543894,0.0,13.7659729645,9.27561499927
2004-04-05,93.6347198203,18.8349733706,54.9082955611,0.0,18.5512299985
2004-04-06,47.7353473594,44.3967229449,0.0,8.25958377869,29.6819679977
2004-04-07,91.7987449219,44.3967229449,0.0,0.0,61.2190589952
2004-04-08,51.4072971562,51.1234991487,0.0,19.2723621503,44.5229519965
2004-04-09,82.6188704297,83.4120249267,0.0,11.0127783716,38.9575829969
2004-04-10,31.2115732734,47.0874334264,109.816591122,0.0,22.2614759982
2004-04-11,137.698117383,25.5617495743,0.0,0.0,0.0
2004-04-12,0.0,0.0,0.0,0.0,0.0
2004-04-13,0.0,0.0,0.0,0.0,0.0
2004-04-14,53.2432720547,55.1595648709,0.0,16.5191675574,18.5512299985
2004-04-15,88.126795125,34.9792362596,0.0,16.5191675574,35.2473369972
2004-04-16,128.518242891,37.6699467411,0.0,0.0,20.4063529984
2004-04-17,97.3066696172,71.30382776,0.0,0.0,44.5229519965
2004-04-18,71.6030210391,14.7989076483,0.0,0.0,20.4063529984
2004-04-19,64.2591214453,55.1595648709,0.0,16.5191675574,64.9293049949
2004-04-20,100.978619414,57.8502753524,54.9082955611,33.0383351148,74.2049199941
2004-04-21,62.4231465469,53.8142096302,54.9082955611,24.7787513361,74.2049199941
2004-04-22,58.75119675,51.1234991487,54.9082955611,0.0,40.8127059968
2004-04-23,56.9152218516,55.1595648709,54.9082955611,0.0,18.5512299985
2004-04-24,146.877991875,53.8142096302,0.0,0.0,20.4063529984
2004-04-25,89.9627700234,51.1234991487,0.0,0.0,29.6819679977
2004-04-26,84.4548453281,49.7781439079,0.0,24.7787513361,27.8268449978
2004-04-27,49.5713222578,24.2163943336,54.9082955611,0.0,44.5229519965
2004-04-28,45.8993724609,76.685248723,54.9082955611,24.7787513361,24.1165989981
2004-04-29,58.75119675,43.0513677041,109.816591122,8.25958377869,29.6819679977
2004-04-30,183.597489844,45.7420781856,0.0,57.8170864508,63.074181995
2004-05-01,80.7828955312,0.0,109.816591122,16.5191675574,40.8127059968
2004-05-02,167.073715758,57.8502753524,0.0,0.0,50.088320996
2004-05-03,62.4231465469,45.7420781856,0.0,8.25958377869,40.8127059968
2004-05-04,78.9469206328,45.7420781856,54.9082955611,0.0,22.2614759982
2004-05-05,51.4072971562,55.1595648709,54.9082955611,16.5191675574,35.2473369972
2004-05-06,77.1109457344,43.0513677041,0.0,0.0,42.6678289966
2004-05-07,78.9469206328,57.8502753524,73.2110607482,0.0,12.985860999
2004-05-08,88.126795125,80.7213144452,0.0,16.5191675574,0.0
2004-05-09,141.37006718,64.5770515562,0.0,0.0,22.2614759982
2004-05-10,84.4548453281,30.9431705373,54.9082955611,8.25958377869,37.1024599971
2004-05-11,34.8835230703,51.1234991487,0.0,0.0,35.2473369972
2004-05-12,56.9152218516,61.8863410747,0.0,8.25958377869,33.3922139974
2004-05-13,99.1426445156,55.1595648709,109.816591122,0.0,29.6819679977
2004-05-14,44.0633975625,32.2885257781,0.0,0.0,44.5229519965
2004-05-15,53.2432720547,94.1748668528,0.0,0.0,11.1307379991
2004-05-16,73.4389959375,61.8863410747,109.816591122,0.0,11.1307379991
2004-05-17,80.7828955312,43.0513677041,0.0,16.5191675574,40.8127059968
2004-05-18,84.4548453281,49.7781439079,0.0,0.0,16.6961069987
2004-05-19,91.7987449219,25.5617495743,0.0,35.7915297076,24.1165989981
2004-05-20,66.0950963437,60.5409858339,0.0,16.5191675574,5.56536899956
2004-05-21,62.4231465469,32.2885257781,0.0,0.0,25.971721998
2004-05-22,126.682267992,22.8710390928,0.0,0.0,11.1307379991
2004-05-23,53.2432720547,39.0153019819,0.0,0.0,31.5370909975
2004-05-24,64.2591214453,63.2316963154,0.0,24.7787513361,40.8127059968
2004-05-25,123.010318195,47.0874334264,54.9082955611,0.0,29.6819679977
2004-05-26,88.126795125,39.0153019819,0.0,8.25958377869,24.1165989981
2004-05-27,99.1426445156,49.7781439079,0.0,46.8043080792,5.56536899956
2004-05-28,67.9310712422,64.5770515562,128.119356309,19.2723621503,40.8127059968
2004-05-29,80.7828955312,51.1234991487,0.0,0.0,11.1307379991
2004-05-30,60.5871716484,61.8863410747,0.0,0.0,0.0
2004-05-31,67.9310712422,63.2316963154,91.5138259352,13.7659729645,29.6819679977
2004-06-01,66.0950963437,39.0153019819,128.119356309,16.5191675574,37.1024599971
2004-06-02,47.7353473594,68.6131172785,0.0,0.0,24.1165989981
2004-06-03,97.3066696172,65.9224067969,0.0,0.0,18.5512299985
2004-06-04,58.75119675,52.4688543894,73.2110607482,38.5447243005,7.42049199941
2004-06-05,137.698117383,76.685248723,109.816591122,0.0,0.0
2004-06-06,93.6347198203,45.7420781856,0.0,0.0,0.0
2004-06-07,95.4706947187,48.4327886671,0.0,0.0,11.1307379991
2004-06-08,58.75119675,34.9792362596,0.0,8.25958377869,53.7985669958
2004-06-09,73.4389959375,36.3245915004,0.0,19.2723621503,37.1024599971
2004-06-10,42.2274226641,49.7781439079,0.0,0.0,31.5370909975
2004-06-11,124.846293094,60.5409858339,73.2110607482,30.2851405219,27.8268449978
2004-06-12,97.3066696172,48.4327886671,0.0,0.0,11.1307379991
2004-06-13,55.0792469531,64.5770515562,0.0,0.0,22.2614759982
2004-06-14,91.7987449219,71.30382776,54.9082955611,0.0,37.1024599971
2004-06-15,66.0950963437,34.9792362596,0.0,0.0,24.1165989981
