date,bargain,benefactor,beneficiary,benefit,benevolence
2004-01-01,120.62032919,0.0,0.0,95.9279850432,0.0
2004-01-02,62.5438743946,0.0,0.0,54.4776211357,0.0
2004-01-03,107.218070391,0.0,0.813959610113,67.5048783638,0.0
2004-01-04,64.0330142612,0.0,0.813959610113,50.9247328007,0.0
2004-01-05,32.7610770639,0.0,0.0,39.0817716843,0.0
2004-01-06,46.1633358627,0.0,0.65116768809,86.4536161501,0.0
2004-01-07,67.0112939943,0.0,0.976751532135,97.1122811549,0.0
2004-01-08,29.7827973308,0.0,0.0,91.1908005966,0.0
2004-01-09,52.1198953289,0.0,0.0,61.5833978055,0.0
2004-01-10,67.0112939943,0.0,1.4651272982,59.2148055822,0.0
2004-01-11,69.9895737273,0.0,0.0,43.8189561309,0.0
2004-01-12,56.5873149285,0.0,1.30233537618,74.6106550336,0.0
2004-01-13,59.5655946616,0.0,1.30233537618,66.3205822521,0.0
2004-01-14,32.7610770639,7.90514495378,0.813959610113,73.426358922,0.0
2004-01-15,56.5873149285,0.0,0.813959610113,58.0305094706,0.0
2004-01-16,72.9678534604,0.0,0.488375766068,75.7949511453,0.0
2004-01-17,72.9678534604,0.0,0.65116768809,47.3718444658,0.0
2004-01-18,61.0547345281,0.0,0.813959610113,65.1362861405,0.0
2004-01-19,50.6307554623,0.0,0.976751532135,82.9007278151,0.0
2004-01-20,56.5873149285,0.0,0.488375766068,73.426358922,0.0
2004-01-21,87.8592521258,0.0,0.813959610113,79.3478394802,0.0
2004-01-22,59.5655946616,0.0,0.813959610113,85.2693200384,0.0
2004-01-23,29.7827973308,0.0,0.0,79.3478394802,0.0
2004-01-24,58.076454795,0.0,0.0,35.5288833493,0.0
2004-01-25,55.098175062,0.0,0.0,63.9519900288,0.0
2004-01-26,31.2719371973,0.0,0.0,65.1362861405,0.0
2004-01-27,34.2502169304,0.0,0.0,76.9792472569,0.0
2004-01-28,46.1633358627,0.0,1.30233537618,65.1362861405,0.0
2004-01-29,40.2067763966,0.0,1.30233537618,104.218057825,0.0
2004-01-30,67.0112939943,0.0,0.0,86.4536161501,0.0
2004-01-31,38.71763653,0.0,0.0,35.5288833493,0.0
2004-02-01,90.8375318589,10.5401932717,0.65116768809,66.3205822521,0.0
2004-02-02,19.358818265,0.0,0.488375766068,72.2420628103,0.0
2004-02-03,65.5221541277,0.0,0.325583844045,66.3205822521,0.0
2004-02-04,52.1198953289,0.0,0.0,53.293325024,0.0
2004-02-05,47.6524757293,0.0,0.813959610113,59.2148055822,0.0
2004-02-06,43.1850561296,0.0,0.0,68.6891744754,0.0
2004-02-07,50.6307554623,0.0,0.0,80.5321355918,0.0
2004-02-08,47.6524757293,0.0,0.0,37.8974755726,0.0
2004-02-09,46.1633358627,0.0,0.813959610113,72.2420628103,0.0
2004-02-10,40.2067763966,13.1752415896,0.0,59.2148055822,0.0
2004-02-11,41.6959162631,0.0,0.488375766068,87.6379122617,0.0
2004-02-12,65.5221541277,0.0,0.813959610113,76.9792472569,0.0
2004-02-13,46.1633358627,0.0,0.488375766068,46.1875483541,0.0
2004-02-14,119.131189323,0.0,1.4651272982,42.6346600192,0.0
2004-02-15,61.0547345281,0.0,0.0,37.8974755726,0.0
2004-02-16,72.9678534604,7.90514495378,0.976751532135,72.2420628103,0.0
2004-02-17,46.1633358627,7.90514495378,0.0,66.3205822521,0.0
2004-02-18,52.1198953289,0.0,0.813959610113,106.586650048,0.0
2004-02-19,58.076454795,0.0,0.488375766068,88.8222083734,0.0
2004-02-20,68.5004338608,0.0,0.0,80.5321355918,0.0
2004-02-21,31.2719371973,0.0,0.0,40.2660677959,0.0
2004-02-22,61.0547345281,0.0,0.0,78.1635433686,0.0
2004-02-23,47.6524757293,0.0,0.813959610113,61.5833978055,0.0
2004-02-24,40.2067763966,71.146304584,0.813959610113,91.1908005966,0.0
2004-02-25,47.6524757293,39.5257247689,0.325583844045,82.9007278151,0.0
2004-02-26,49.1416155958,21.0803865434,0.488375766068,92.3750967083,0.0
2004-02-27,41.6959162631,13.1752415896,0.488375766068,65.1362861405,0.0
2004-02-28,83.3918325262,0.0,1.4651272982,46.1875483541,0.0
2004-02-29,55.098175062,0.0,1.95350306427,14.2115533397,0.0
2004-03-01,25.3153777312,7.90514495378,0.0,88.8222083734,0.0
2004-03-02,40.2067763966,5.27009663585,1.95350306427,92.3750967083,0.0
2004-03-03,52.1198953289,23.7154348613,0.0,41.4503639076,0.0
2004-03-04,41.6959162631,0.0,1.79071114225,74.6106550336,0.0
2004-03-05,41.6959162631,0.0,1.4651272982,22.5016261213,0.0
2004-03-06,40.2067763966,18.4453382255,0.0,23.6859222329,0.0
2004-03-07,35.7393567969,0.0,0.0,71.0577666987,0.0
2004-03-08,0.0,0.0,0.0,0.0,0.0
2004-03-09,0.0,0.0,0.0,0.0,0.0
2004-03-10,52.1198953289,36.890676451,1.62791922023,103.033761713,0.0
2004-03-11,95.3049514585,73.7813529019,0.0,98.2965772665,0.0
2004-03-12,40.2067763966,21.0803865434,0.65116768809,99.4808733782,0.0
2004-03-13,84.8809723927,10.5401932717,0.0,61.5833978055,0.0
2004-03-14,69.9895737273,0.0,0.65116768809,46.1875483541,0.0
2004-03-15,41.6959162631,0.0,0.0,72.2420628103,0.0
2004-03-16,40.2067763966,5.27009663585,0.813959610113,69.873470587,0.0
2004-03-17,56.5873149285,13.1752415896,0.488375766068,39.0817716843,0.0
2004-03-18,81.9026926597,0.0,0.0,58.0305094706,0.0
2004-03-19,65.5221541277,0.0,0.813959610113,55.6619172473,0.0
2004-03-20,78.9244129266,0.0,0.0,30.7916989028,0.0
2004-03-21,50.6307554623,10.5401932717,0.0,60.3991016939,0.0
2004-03-22,14.8913986654,0.0,1.62791922023,23.6859222329,0.0
2004-03-23,0.0,0.0,0.0,0.0,0.0
2004-03-24,40.2067763966,0.0,2.27908690832,75.7949511453,0.0
2004-03-25,13.4022587989,50.0659180406,0.0,43.8189561309,0.0
2004-03-26,68.5004338608,0.0,0.0,68.6891744754,0.0
2004-03-27,32.7610770639,0.0,0.65116768809,55.6619172473,0.0
2004-03-28,81.9026926597,13.1752415896,0.0,53.293325024,0.0
2004-03-29,29.7827973308,5.27009663585,1.13954345416,97.1122811549,0.0
2004-03-30,52.1198953289,13.1752415896,0.0,88.8222083734,0.0
2004-03-31,38.71763653,18.4453382255,0.325583844045,91.1908005966,0.0
2004-04-01,47.6524757293,26.3504831793,0.0,68.6891744754,0.0
2004-04-02,50.6307554623,42.1607730868,1.30233537618,61.5833978055,0.0
2004-04-03,58.076454795,10.5401932717,1.4651272982,55.6619172473,0.0
2004-04-04,55.098175062,10.5401932717,1.30233537618,49.7404366891,0.0
2004-04-05,41.6959162631,21.0803865434,0.488375766068,74.6106550336,0.0
2004-04-06,44.6741959962,0.0,1.62791922023,55.6619172473,0.0
2004-04-07,59.5655946616,21.0803865434,0.0,80.5321355918,0.0
