date,associate,backer,bargain,benefactor,beneficiary
2004-01-01,37.7832959696,0.0,141.154535108,0.0,0.0
2004-01-02,32.6310283374,9.9242817296,47.5316291689,0.0,19.0804493353
2004-01-03,70.414324307,6.61618781973,100.824667934,0.0,22.8965392023
2004-01-04,89.3059722919,6.61618781973,83.5404391454,0.0,0.0
2004-01-05,46.37040869,0.0,76.3386771501,0.0,0.0
2004-01-06,63.5446341307,9.9242817296,100.824667934,0.0,19.0804493353
2004-01-07,58.3923664985,7.71888578969,53.2930387652,0.0,26.7126290694
2004-01-08,58.3923664985,0.0,38.8895147746,0.0,11.4482696012
2004-01-09,48.0878312341,0.0,80.6597343473,0.0,26.7126290694
2004-01-10,56.6749439544,5.51348984978,54.7333911642,0.0,19.0804493353
2004-01-11,58.3923664985,6.61618781973,82.1000867463,0.0,0.0
2004-01-12,63.5446341307,7.71888578969,67.6965627558,0.0,49.6091682717
2004-01-13,94.4582399241,14.3350736094,70.5772675539,0.0,11.4482696012
2004-01-14,84.1537046596,0.0,51.8526863661,17.576419792,11.4482696012
2004-01-15,51.5226763222,0.0,53.2930387652,0.0,38.1608986706
2004-01-16,66.9794792189,0.0,80.6597343473,0.0,26.7126290694
2004-01-17,65.2620566748,0.0,86.4211439435,0.0,0.0
2004-01-18,75.5665919393,6.61618781973,56.1737435633,0.0,22.8965392023
2004-01-19,51.5226763222,0.0,59.0544483614,0.0,26.7126290694
2004-01-20,89.3059722919,6.61618781973,64.8158579576,0.0,11.4482696012
2004-01-21,44.6529861459,3.30809390987,79.2193819482,0.0,11.4482696012
2004-01-22,54.9575214104,0.0,102.265020333,0.0,11.4482696012
2004-01-23,82.4362821156,7.71888578969,34.5684575774,0.0,0.0
2004-01-24,89.3059722919,11.0269796996,105.145725131,0.0,0.0
2004-01-25,53.2400988663,5.51348984978,44.6509243708,0.0,19.0804493353
2004-01-26,77.2840144833,3.30809390987,41.7702195727,17.576419792,38.1608986706
2004-01-27,42.9355636019,3.30809390987,40.3298671736,0.0,11.4482696012
2004-01-28,54.9575214104,3.30809390987,64.8158579576,0.0,22.8965392023
2004-01-29,79.0014370274,7.71888578969,60.4948007605,0.0,38.1608986706
2004-01-30,77.2840144833,0.0,69.1369151548,17.576419792,0.0
2004-01-31,61.8272115867,0.0,59.0544483614,0.0,0.0
2004-02-01,36.0658734256,5.51348984978,122.42995392,0.0,19.0804493353
2004-02-02,58.3923664985,3.30809390987,31.6877527793,0.0,11.4482696012
2004-02-03,41.2181410578,3.30809390987,41.7702195727,0.0,11.4482696012
2004-02-04,46.37040869,6.61618781973,43.2105719718,0.0,11.4482696012
2004-02-05,77.2840144833,3.30809390987,69.1369151548,0.0,22.8965392023
2004-02-06,60.1097890426,3.30809390987,46.0912767699,0.0,0.0
2004-02-07,0.0,0.0,97.943963136,0.0,0.0
2004-02-08,39.5007185137,0.0,21.6052859859,0.0,0.0
2004-02-09,68.696901763,6.61618781973,70.5772675539,0.0,34.3448088035
2004-02-10,51.5226763222,0.0,56.1737435633,17.576419792,22.8965392023
2004-02-11,80.7188595715,6.61618781973,36.0088099765,0.0,22.8965392023
2004-02-12,85.8711272037,3.30809390987,63.3755055586,0.0,34.3448088035
2004-02-13,75.5665919393,3.30809390987,53.2930387652,0.0,11.4482696012
2004-02-14,27.4787607052,12.1296776695,84.9807915445,0.0,41.9769885376
2004-02-15,94.4582399241,0.0,95.0632583379,0.0,0.0
2004-02-16,73.8491693952,0.0,87.8614963426,23.4352263893,15.2643594682
2004-02-17,53.2400988663,3.30809390987,70.5772675539,17.576419792,11.4482696012
2004-02-18,61.8272115867,3.30809390987,64.8158579576,17.576419792,34.3448088035
2004-02-19,58.3923664985,3.30809390987,48.971981568,0.0,0.0
2004-02-20,63.5446341307,3.30809390987,57.6140959623,0.0,11.4482696012
2004-02-21,70.414324307,0.0,80.6597343473,0.0,0.0
