date,benefit,benevolence,benevolent,bequeath,betroth
2004-01-01,9.47582510554,0.0,0.0,0.0,0.0
2004-01-02,66.3307757388,0.0,11.6140975117,0.0,0.0
2004-01-03,47.3791255277,0.0,0.0,0.0,0.0
2004-01-04,21.0573891234,0.0,14.5176218896,0.0,0.0
2004-01-05,96.8639899677,0.0,0.0,0.0,0.0
2004-01-06,75.8066008443,0.0,0.0,0.0,0.0
2004-01-07,67.3836451949,0.0,17.4211462675,0.0,0.0
2004-01-08,61.0664284579,0.0,8.71057313377,0.0,0.0
2004-01-09,57.9078200894,0.0,0.0,0.0,0.0
2004-01-10,25.2688669481,0.0,40.6493412909,0.0,0.0
2004-01-11,60.0135590017,0.0,14.5176218896,0.0,0.0
2004-01-12,81.0709481252,0.0,0.0,0.0,0.0
2004-01-13,92.652512143,0.0,8.71057313377,0.0,0.0
2004-01-14,77.9123397566,0.0,0.0,0.0,0.0
2004-01-15,56.8549506332,0.0,0.0,0.0,0.0
2004-01-16,69.4893841073,0.0,0.0,0.0,0.0
2004-01-17,53.6963422647,0.0,0.0,0.0,0.0
2004-01-18,45.2733866153,0.0,0.0,0.0,0.0
2004-01-19,67.3836451949,0.0,8.71057313377,0.0,0.0
2004-01-20,78.9652092128,0.0,0.0,0.0,0.0
2004-01-21,54.7492117209,0.0,8.71057313377,0.0,0.0
2004-01-22,64.2250368264,0.0,8.71057313377,0.0,0.0
2004-01-23,51.5906033524,0.0,0.0,0.0,0.0
2004-01-24,32.6389531413,0.0,0.0,0.0,0.0
2004-01-25,87.3881648622,0.0,0.0,0.0,0.0
2004-01-26,54.7492117209,0.0,14.5176218896,0.0,0.0
2004-01-27,61.0664284579,0.0,0.0,0.0,0.0
2004-01-28,65.2779062826,0.0,8.71057313377,0.0,0.0
2004-01-29,72.6479924758,0.0,8.71057313377,0.0,0.0
2004-01-30,61.0664284579,0.0,17.4211462675,0.0,0.0
2004-01-31,37.9033004222,0.0,11.6140975117,0.0,0.0
2004-02-01,37.9033004222,0.0,0.0,0.0,0.0
2004-02-02,72.6479924758,0.0,8.71057313377,0.0,0.0
2004-02-03,54.7492117209,0.0,14.5176218896,0.0,0.0
2004-02-04,55.8020811771,0.0,8.71057313377,0.0,0.0
2004-02-05,58.9606895456,0.0,8.71057313377,0.0,0.0
2004-02-06,71.5951230196,0.0,8.71057313377,0.0,0.0
2004-02-07,61.0664284579,0.0,0.0,0.0,0.0
2004-02-08,48.4319949839,0.0,0.0,0.0,0.0
2004-02-09,54.7492117209,0.0,0.0,0.0,0.0
2004-02-10,56.8549506332,0.0,14.5176218896,0.0,0.0
2004-02-11,63.1721673703,0.0,8.71057313377,0.0,0.0
2004-02-12,69.4893841073,0.0,23.2281950234,0.0,0.0
2004-02-13,54.7492117209,0.0,17.4211462675,0.0,0.0
2004-02-14,37.9033004222,0.0,0.0,0.0,0.0
2004-02-15,29.4803447728,0.0,0.0,0.0,0.0
2004-02-16,70.5422535634,0.0,0.0,0.0,0.0
2004-02-17,76.8594703005,0.0,8.71057313377,0.0,0.0
2004-02-18,96.8639899677,0.0,8.71057313377,0.0,0.0
2004-02-19,64.2250368264,0.0,14.5176218896,0.0,0.0
2004-02-20,53.6963422647,0.0,8.71057313377,0.0,0.0
2004-02-21,49.48486444,0.0,11.6140975117,0.0,0.0
2004-02-22,40.0090393345,0.0,0.0,0.0,0.0
2004-02-23,78.9652092128,0.0,0.0,0.0,0.0
2004-02-24,68.4365146511,0.0,8.71057313377,0.0,0.0
2004-02-25,71.5951230196,0.0,0.0,0.0,0.0
2004-02-26,71.5951230196,0.0,0.0,0.0,0.0
2004-02-27,56.8549506332,0.0,8.71057313377,0.0,0.0
2004-02-28,46.3262560715,0.0,0.0,0.0,0.0
2004-02-29,26.3217364043,0.0,0.0,0.0,0.0
2004-03-01,71.5951230196,0.0,0.0,0.0,0.0
2004-03-02,69.4893841073,0.0,0.0,0.0,0.0
2004-03-03,75.8066008443,0.0,0.0,0.0,0.0
2004-03-04,76.8594703005,0.0,0.0,0.0,0.0
2004-03-05,91.5996426869,0.0,29.0352437792,0.0,0.0
2004-03-06,58.9606895456,0.0,20.3246706455,0.0,0.0
2004-03-07,52.6434728085,0.0,0.0,0.0,0.0
2004-03-08,0.0,0.0,0.0,0.0,0.0
2004-03-09,0.0,0.0,0.0,0.0,0.0
2004-03-10,91.5996426869,0.0,0.0,0.0,0.0
2004-03-11,60.0135590017,0.0,0.0,0.0,0.0
2004-03-12,74.7537313881,0.0,0.0,0.0,0.0
2004-03-13,42.1147782468,0.0,0.0,0.0,0.0
2004-03-14,28.4274753166,0.0,0.0,0.0,0.0
2004-03-15,86.335295406,0.0,8.71057313377,0.0,0.0
2004-03-16,58.9606895456,0.0,8.71057313377,0.0,0.0
2004-03-17,52.6434728085,0.0,8.71057313377,0.0,0.0
2004-03-18,81.0709481252,0.0,14.5176218896,0.0,0.0
2004-03-19,56.8549506332,0.0,0.0,0.0,0.0
2004-03-20,57.9078200894,0.0,0.0,0.0,0.0
2004-03-21,32.6389531413,0.0,0.0,0.0,0.0
2004-03-22,22.1102585796,0.0,0.0,0.0,0.0
2004-03-23,0.0,0.0,0.0,0.0,0.0
2004-03-24,67.3836451949,0.0,11.6140975117,0.0,0.0
2004-03-25,9.47582510554,0.0,0.0,0.0,0.0
2004-03-26,105.286945617,0.0,0.0,0.0,0.0
2004-03-27,28.4274753166,0.0,0.0,0.0,0.0
2004-03-28,18.9516502111,0.0,0.0,0.0,0.0
2004-03-29,66.3307757388,0.0,23.2281950234,0.0,0.0
2004-03-30,66.3307757388,0.0,5.80704875585,0.0,0.0
2004-03-31,70.5422535634,0.0,0.0,0.0,0.0
2004-04-01,54.7492117209,0.0,0.0,0.0,0.0
2004-04-02,66.3307757388,0.0,8.71057313377,0.0,0.0
2004-04-03,60.0135590017,0.0,0.0,0.0,0.0
2004-04-04,27.3746058604,0.0,0.0,0.0,0.0
2004-04-05,61.0664284579,0.0,8.71057313377,0.0,0.0
2004-04-06,73.700861932,0.0,0.0,0.0,0.0
2004-04-07,84.2295564937,0.0,0.0,0.0,0.0
2004-04-08,85.2824259498,0.0,14.5176218896,0.0,0.0
2004-04-09,57.9078200894,0.0,0.0,0.0,0.0
2004-04-10,67.3836451949,0.0,0.0,0.0,0.0
